date,src_ASN,src_port,bytes
2015-03-11,10010,32307,423165
2015-03-11,10013,35730,2697446
2015-03-11,10155,58903,1700000
2015-03-11,10190,33263,1131169
2015-03-11,102,7777,806508
2015-03-11,10355,43040,3314582
2015-03-11,10364,29951,108532
2015-03-11,10397,80,443409
2015-03-11,10437,443,1064869
2015-03-11,10455,80,106269
2015-03-11,10481,39018,246843
2015-03-11,10620,80,517435
2015-03-11,10620,443,30091242
2015-03-11,10702,1028,434922
2015-03-11,10796,80,115586
2015-03-11,10796,32448,1500000
2015-03-11,10796,33563,73055
2015-03-11,10796,34146,398141
2015-03-11,10796,34567,64227
2015-03-11,10796,35959,82067
2015-03-11,10796,35982,105853
2015-03-11,10796,37329,126569
2015-03-11,10796,37801,365429
2015-03-11,10796,38739,340929
2015-03-11,10796,39662,81131
2015-03-11,10796,40577,328645
2015-03-11,10796,41563,110313
2015-03-11,10796,41826,120285
2015-03-11,10796,42970,326929
2015-03-11,10796,43222,79747
2015-03-11,10796,43571,86107
2015-03-11,10796,43869,76791
2015-03-11,10796,44493,118297
2015-03-11,10796,44888,336749
2015-03-11,10796,45619,356965
2015-03-11,10796,47557,69567
2015-03-11,10796,48711,313077
2015-03-11,10796,49497,297149
2015-03-11,10796,49686,384345
2015-03-11,10796,51635,68131
2015-03-11,10796,52007,69571
2015-03-11,10796,52135,367685
2015-03-11,10796,52951,402572
2015-03-11,10796,52978,155157
2015-03-11,10796,53252,103189
2015-03-11,10796,54078,83443
2015-03-11,10796,54188,359117
2015-03-11,10796,55811,359821
2015-03-11,10796,56243,316361
2015-03-11,10796,56275,344233
2015-03-11,10796,57609,73803
2015-03-11,10796,57671,413977
2015-03-11,10796,59209,339129
2015-03-11,10796,59248,66675
2015-03-11,10796,59628,85299
2015-03-11,10821,80,107059
2015-03-11,10838,80,7200000
2015-03-11,10962,443,675949
2015-03-11,11003,41289,914962
2015-03-11,1103,80,65088743
2015-03-11,1103,105,28880632
2015-03-11,1103,179,2146686
2015-03-11,1103,706,10125410
2015-03-11,1103,990,76395303
2015-03-11,1103,3028,724352
2015-03-11,1103,4376,755128
2015-03-11,1103,5396,99500000
2015-03-11,1103,19633,194134
2015-03-11,1103,32834,71183
2015-03-11,1103,33499,71259
2015-03-11,1103,33627,71259
2015-03-11,1103,33718,71207
2015-03-11,1103,34546,71223
2015-03-11,1103,34834,71167
2015-03-11,1103,34930,71207
2015-03-11,1103,34941,132412
2015-03-11,1103,35380,71207
2015-03-11,1103,35497,4300000
2015-03-11,1103,35733,71259
2015-03-11,1103,35782,191184
2015-03-11,1103,36891,71250
2015-03-11,1103,37633,71219
2015-03-11,1103,39266,82560
2015-03-11,1103,40612,71259
2015-03-11,1103,42092,413115
2015-03-11,1103,43123,71218
2015-03-11,1103,44774,71198
2015-03-11,1103,45980,103886
2015-03-11,1103,46269,71219
2015-03-11,1103,48330,68579
2015-03-11,1103,54300,164495
2015-03-11,1103,60367,17300000
2015-03-11,1103,61627,39000000
2015-03-11,11039,80,1970458
2015-03-11,11259,11192,208475
2015-03-11,11259,52761,491374
2015-03-11,11272,80,804766
2015-03-11,11272,443,2458560
2015-03-11,11351,80,931085
2015-03-11,11351,6881,5412199
2015-03-11,11351,43043,1900000
2015-03-11,11351,43494,28200000
2015-03-11,1136,80,3460646
2015-03-11,1136,873,3201800000
2015-03-11,1136,13513,1900000
2015-03-11,1136,24078,56044
2015-03-11,1136,26496,2300000
2015-03-11,1136,39009,266349
2015-03-11,11363,80,95910401
2015-03-11,11398,57054,520641
2015-03-11,11426,43937,306089
2015-03-11,11426,63429,115718
2015-03-11,11427,80,634913
2015-03-11,11427,6889,1700000
2015-03-11,11427,18215,133414
2015-03-11,11427,41184,556050
2015-03-11,11427,49453,600305
2015-03-11,11427,64637,3060146
2015-03-11,11488,80,70432
2015-03-11,11489,12208,504317
2015-03-11,11694,443,929923
2015-03-11,11757,80,211528
2015-03-11,11796,80,1352742
2015-03-11,11796,47341,578682
2015-03-11,11798,6881,164267
2015-03-11,11798,6969,13900000
2015-03-11,11814,41189,1100000
2015-03-11,11915,28251,22300000
2015-03-11,12006,23610,3500000
2015-03-11,12036,80,580338
2015-03-11,12083,80,53865727
2015-03-11,12083,11941,7700000
